RK,NAME,POSITION,TEAM,SALARY,SALARY
244,Zach LaVine, PG,Minnesota Timberwolves,2148360,"$2,148,360.00"
245,Kendall Marshall, PG,Philadelphia 76ers,2144772,"$2,144,772.00"
246,Jeremy Lin, PG,Charlotte Hornets,2139000,"$2,139,000.00"
247,Gary Neal, PG,Washington Wizards,2139000,"$2,139,000.00"
248,Devin Booker, SG,Phoenix Suns,2127840,"$2,127,840.00"
249,Miles Plumlee, C,Milwaukee Bucks,2109294,"$2,109,294.00"
250,Mo Williams, PG,Cleveland Cavaliers,2100000,"$2,100,000.00"
251,David Lee, PF,Dallas Mavericks,2085671,"$2,085,671.00"
252,Shabazz Muhammad, SF,Minnesota Timberwolves,2056920,"$2,056,920.00"
253,Joe Ingles, SF,Utah Jazz,2050000,"$2,050,000.00"
254,TJ Warren, SF,Phoenix Suns,2041080,"$2,041,080.00"
255,Perry Jones, SF,Boston Celtics,2038206,"$2,038,206.00"
256,Cameron Payne, PG,Oklahoma City Thunder,2021520,"$2,021,520.00"
257,Festus Ezeli, C,Golden State Warriors,2008748,"$2,008,748.00"
258,DeJuan Blair, C,Washington Wizards,2000000,"$2,000,000.00"
259,Kent Bazemore, SF,Atlanta Hawks,2000000,"$2,000,000.00"
260,Giannis Antetokounmpo, SF,Milwaukee Bucks,1953960,"$1,953,960.00"
261,Adreian Payne, PF,Minnesota Timberwolves,1938840,"$1,938,840.00"
262,Kelly Oubre Jr., SF,Washington Wizards,1920240,"$1,920,240.00"
263,Lucas Nogueira, C,Toronto Raptors,1842000,"$1,842,000.00"
264,Jusuf Nurkic, C,Denver Nuggets,1842000,"$1,842,000.00"
265,Terry Rozier, PG,Boston Celtics,1824360,"$1,824,360.00"
266,Dennis Schroder, PG,Atlanta Hawks,1763400,"$1,763,400.00"
267,James Young, SG,Boston Celtics,1749840,"$1,749,840.00"
268,Rashad Vaughn, SG,Milwaukee Bucks,1733040,"$1,733,040.00"
269,Ryan Kelly, PF,Los Angeles Lakers,1724250,"$1,724,250.00"
270,Joffrey Lauvergne, C,Denver Nuggets,1709719,"$1,709,719.00"
271,Zoran Dragic, SG,Boston Celtics,1706225,"$1,706,225.00"
272,Tyler Ennis, PG,Milwaukee Bucks,1662360,"$1,662,360.00"
273,Sam Dekker, SF,Houston Rockets,1646400,"$1,646,400.00"
274,Lance Thomas, SF,New York Knicks,1636842,"$1,636,842.00"
275,Lou Amundson, PF,New York Knicks,1635476,"$1,635,476.00"
276,Sergey Karasev, SG,Brooklyn Nets,1599840,"$1,599,840.00"
277,Gary Harris, SG,Denver Nuggets,1584480,"$1,584,480.00"
278,Jerian Grant, PG,New York Knicks,1572360,"$1,572,360.00"
279,Tony Snell, SG,Chicago Bulls,1535880,"$1,535,880.00"
