Position,Nom,Matchs,Fautes soumises,Passes ratées,Dernières passes avant un tir,Tirs cadrés se dirigeant soit au poteau entrant soit à la barre entrante,Tirs attrappés,Tirs non cadrés,Buts,Hors jeu,Penalty raté,Interceptions,Fautes commises,But contre son camp (c.s.c) ou autogoal,Cartons jaunes,Cartons rouges,Ballons attrapés (que pour les gardiens),Penaltys attrapés (que pour les gardiens),Buts soufferts (que pour les gardiens)
LAT,Vítor,6,5,14,0,0,1,1,0,0,0,9,3,0,1,0,0,0,0
LAT,Renê,15,25,65,1,0,0,2,0,0,0,36,14,1,3,0,0,0,0
LAT,Bruno,15,16,50,2,0,1,0,0,0,0,18,28,0,4,0,0,0,0
LAT,Allan,12,11,45,1,0,1,4,0,0,0,14,25,0,1,1,0,0,0
LAT,Edimar,16,17,66,0,0,1,7,0,1,0,22,23,0,3,0,0,0,0
TEC,Daniel Paulista,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEI,Alan Patrick,25,41,70,5,0,12,11,4,3,1,19,15,0,2,0,0,0,0
MEI,Dudu Cearense,11,16,22,0,0,1,2,0,2,0,17,17,0,2,0,0,0,0
ATA,Kelvin,23,38,49,4,2,12,5,1,5,0,12,17,0,2,0,0,0,0
ZAG,Danny Morais,29,13,57,0,0,5,4,0,4,0,16,23,1,3,0,0,0,0
ZAG,Ramon,26,20,38,0,1,3,2,0,0,0,25,32,0,2,1,0,0,0
LAT,Samuel Xavier,28,50,72,2,0,4,6,0,1,0,27,36,0,8,0,0,0,0
MEI,Jean Mota,17,20,25,5,1,3,5,2,0,0,13,9,0,2,0,0,0,0
ATA,Arthur,28,44,69,1,0,12,15,5,9,0,20,27,0,1,0,0,0,0
ZAG,Réver,22,16,34,0,1,2,9,1,2,0,22,15,0,1,0,0,0,0
LAT,Apodi,8,4,8,0,1,1,4,0,1,0,5,15,0,2,0,0,0,0
MEI,Yuri,15,6,10,0,0,0,0,1,0,0,6,10,0,2,0,0,0,0
MEI,Tiago Real,19,20,36,0,0,1,5,0,1,0,10,28,0,2,0,0,0,0
MEI,Jailson,21,24,58,0,0,2,6,2,0,0,28,29,0,3,0,0,0,0
MEI,Arrascaeta,25,51,99,7,1,12,24,6,2,1,39,31,0,6,0,0,0,0
ATA,Cueva,16,35,64,2,1,6,8,5,1,1,20,18,0,6,0,0,0,0
ATA,Alecsandro,8,2,11,0,0,3,1,2,0,0,0,9,0,0,0,0,0,0
TEC,Oswaldo de Oliveira,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEI,Valdívia,19,30,40,1,0,4,11,2,1,1,9,12,0,0,0,0,0,0
MEI,Gervasio Núñez,14,10,13,0,1,3,4,1,1,0,2,10,0,1,0,0,0,0
ATA,Willian,25,27,26,0,2,16,14,3,9,0,14,26,0,4,0,0,0,0
ATA,Vinícius Araújo,12,7,13,1,0,1,2,2,5,0,3,10,0,4,0,0,0,0
ATA,Kazim,14,19,31,1,1,8,9,3,5,0,5,31,0,3,0,0,0,0
ATA,Lins,17,17,32,1,0,4,3,3,5,0,11,20,0,0,0,0,0,0
MEI,Wagner,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ATA,Vinicius,14,20,27,1,0,6,7,0,1,0,2,9,0,1,0,0,0,0
